Date,Store,Predicted_revenue,Lower_95,Upper_95
2023-07-01,Lower Manhattan,5361.770568365029,4463.402279346878,6260.138857383181
2023-07-02,Lower Manhattan,5546.939191584491,4648.570902566338,6445.307480602643
2023-07-03,Lower Manhattan,5577.685679862707,4679.317390844555,6476.0539688808585
2023-07-04,Lower Manhattan,5441.2802935855,4542.912004567348,6339.648582603651
2023-07-05,Lower Manhattan,5516.7318831638295,4618.363594145678,6415.100172181981
2023-07-06,Lower Manhattan,5495.533550584801,4597.165261566648,6393.901839602953
2023-07-07,Lower Manhattan,5457.940579129643,4559.572290111491,6356.308868147795
2023-07-08,Lower Manhattan,5710.480896817738,4812.112607799585,6608.84918583589
2023-07-09,Lower Manhattan,5576.869797997172,4678.5015089790195,6475.238087015325
2023-07-10,Lower Manhattan,5530.792277066438,4632.4239880482855,6429.160566084591
2023-07-11,Lower Manhattan,5387.933150979883,4489.564861961731,6286.301439998035
2023-07-12,Lower Manhattan,5384.050725099,4485.682436080848,6282.419014117153
2023-07-13,Lower Manhattan,5412.364246900028,4513.995957881876,6310.73253591818
2023-07-14,Lower Manhattan,5412.364246900028,4513.995957881876,6310.73253591818
2023-07-15,Lower Manhattan,5521.905570779902,4623.53728176175,6420.273859798053
2023-07-16,Lower Manhattan,5576.329659656747,4677.961370638595,6474.697948674899
2023-07-17,Lower Manhattan,5594.269063095259,4695.900774077107,6492.637352113412
2023-07-18,Lower Manhattan,5479.383650857885,4581.015361839733,6377.751939876038
2023-07-19,Lower Manhattan,5475.5012249770025,4577.132935958851,6373.869513995154
2023-07-20,Lower Manhattan,5436.013509910607,4537.645220892455,6334.38179892876
2023-07-21,Lower Manhattan,5439.827442701612,4541.45915368346,6338.195731719765
2023-07-22,Lower Manhattan,5530.904356197844,4632.536067179692,6429.272645215997
2023-07-23,Lower Manhattan,5516.62785528879,4618.259566270637,6414.996144306942
2023-07-24,Lower Manhattan,5503.948189322554,4605.579900304401,6402.316478340706
2023-07-25,Lower Manhattan,5378.662559112223,4480.294270094071,6277.030848130375
2023-07-26,Lower Manhattan,5390.434510571872,4492.0662215537195,6288.802799590025
2023-07-27,Lower Manhattan,5445.215496580571,4546.8472075624195,6343.583785598723
2023-07-28,Lower Manhattan,5224.734189585531,4326.365900567378,6123.102478603683
2023-07-29,Lower Manhattan,5324.710577793561,4426.3422887754095,6223.078866811713
2023-07-30,Lower Manhattan,5473.635643820521,4575.267354802369,6372.003932838674
2023-07-01,Hell's Kitchen,5314.412968691711,4416.04467967356,6212.781257709863
2023-07-02,Hell's Kitchen,5546.939191584491,4648.570902566338,6445.307480602643
2023-07-03,Hell's Kitchen,5577.685679862707,4679.317390844555,6476.0539688808585
2023-07-04,Hell's Kitchen,5432.532287166237,4534.163998148086,6330.900576184389
2023-07-05,Hell's Kitchen,5504.78640995617,4606.418120938019,6403.154698974322
2023-07-06,Hell's Kitchen,5495.533550584801,4597.165261566648,6393.901839602953
2023-07-07,Hell's Kitchen,5473.704864643724,4575.336575625572,6372.073153661877
2023-07-08,Hell's Kitchen,5710.480896817738,4812.112607799585,6608.84918583589
2023-07-09,Hell's Kitchen,5576.869797997172,4678.5015089790195,6475.238087015325
2023-07-10,Hell's Kitchen,5530.792277066438,4632.4239880482855,6429.160566084591
2023-07-11,Hell's Kitchen,5387.933150979883,4489.564861961731,6286.301439998035
2023-07-12,Hell's Kitchen,5384.050725099,4485.682436080848,6282.419014117153
2023-07-13,Hell's Kitchen,5412.364246900028,4513.995957881876,6310.73253591818
